Location, Amount
A1,22.04
B1,27.45
C1,66.6
D1,20.41
E1,59.22
F1,80.35
G1,73.6
H1,61.92
A2,75.32
B2,66.73
C2,59.11
D2,54.46
E2,101.01
F2,109.39
G2,127.96
H2,120.96
A3,124.06
B3,118.05
C3,29.87
D3,76.53
E3,38.68
F3,108.99
G3,133.39
H3,103.22
A4,21.56
B4,87.21
C4,41.38
D4,59.7
E4,57.64
F4,76.35
G4,44.21
H4,109.28
A5,83.96
B5,74.47
C5,69.89
D5,87.62
E5,48.62
F5,55.16
G5,73.89
H5,160.34
A6,67.32
B6,138.46
C6,149.59
D6,172.31
E6,171.43
F6,192.1
G6,84.27
H6,149.93
